ho,dl,err,gt,got
mediation,ETT(Y | X),0.0,0.08954048870771536,0.08954048870771536
mediation,NDE(Y | X),4.440892098500626e-16,0.35250941023943905,0.3525094102394395
mediation,NIE(Y | X),2.7755575615628914e-16,-0.23710713341618367,-0.23710713341618395
mediation,P(Y=1 | X=1),0.0,0.7988002231832669,0.7988002231832669
mediation,P(Y=1 | X=0),0.0,0.22080747009825819,0.22080747009825819
mediation,P(X=1),3.3306690738754696e-16,0.7500818400659397,0.75008184006594
mediation,P(V2=1),2.220446049250313e-16,0.6799198201387427,0.679919820138743
mediation,P(Y=1),0.0009810231497237032,0.6533683147273164,0.6543493378770401
mediation,ATE(Y | X),0.0,0.5779927530850087,0.5779927530850087
mediation,ETT(Y | X),0.0,0.5779927530850087,0.5779927530850087
mediation,NDE(Y | X),1.1102230246251565e-16,0.47396989513267485,0.47396989513267496
mediation,NIE(Y | X),5.551115123125783e-17,0.09878959219136113,0.09878959219136119
mediation,P(Y=1 | X=1),1.6653345369377348e-16,0.44186023166705535,0.4418602316670552
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.23883168015607575,0.23883168015607564
mediation,P(X=1),6.661338147750939e-16,0.7681926076415702,0.7681926076415708
mediation,P(V2=1),4.718447854656915e-16,0.08812638116308538,0.08812638116308491
mediation,P(Y=1),0.00147426732650624,0.3962709798934923,0.39479671256698606
mediation,ATE(Y | X),5.551115123125783e-17,0.2030285515109796,0.20302855151097965
mediation,ETT(Y | X),5.551115123125783e-17,0.2030285515109796,0.20302855151097965
mediation,NDE(Y | X),0.0,0.34535779679805595,0.34535779679805595
mediation,NIE(Y | X),3.608224830031759e-16,-0.13405022712302384,-0.1340502271230242
mediation,P(Y=1 | X=1),2.220446049250313e-16,0.8191883441084642,0.8191883441084644
mediation,P(Y=1 | X=0),0.0,0.5281855389388506,0.5281855389388506
mediation,P(X=1),4.440892098500626e-16,0.8636308829250681,0.8636308829250685
mediation,P(V2=1),2.220446049250313e-16,0.7380667097733637,0.738066709773364
mediation,P(Y=1),0.0006246064968202791,0.7788799420043355,0.7795045485011558
mediation,ATE(Y | X),0.0,0.29100280516961363,0.29100280516961363
mediation,ETT(Y | X),0.0,0.29100280516961363,0.29100280516961363
mediation,NDE(Y | X),4.440892098500626e-16,0.41109842592994017,0.4110984259299406
mediation,NIE(Y | X),5.551115123125783e-17,-0.1253991174792235,-0.12539911747922355
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.5483291674275402,0.5483291674275401
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.36333875831143536,0.36333875831143525
mediation,P(X=1),4.440892098500626e-16,0.7334650852471735,0.7334650852471739
